cleveland-0_vs_4	SVM	0.8	0.666666667	1	0.666666667	0.8	0.786666667	0.014933333
ecoli-0-1-4-6_vs_5	SVM	1	0.857142857	1	0.666666667	1	0.904761905	0.01723356
ecoli-0-1-4-7_vs_2-3-5-6	SVM	0.666666667	0.909090909	1	0.909090909	0.888888889	0.874747475	0.012308948
cleveland-0_vs_4	SMOTE-SVM	1	1	1	1	1	1	0
ecoli-0-1-4-7_vs_5-6	SVM	0.888888889	1	0.8	1	0.666666667	0.871111111	0.016079012
ecoli-0-1-4-6_vs_5	SMOTE-SVM	1	0.857142857	1	1	1	0.971428571	0.003265306
ecoli-0-1_vs_2-3-5	SVM	0.666666667	0.888888889	1	0.8	1	0.871111111	0.016079012
ecoli-0-1-4-7_vs_2-3-5-6	SMOTE-SVM	0.8	1	1	1	0.909090909	0.941818182	0.006267769
ecoli-0-1_vs_5	SVM	1	0.857142857	1	0.666666667	1	0.904761905	0.01723356
ecoli-0-2-3-4_vs_5	SVM	0.857142857	0.857142857	1	0.666666667	0.857142857	0.847619048	0.011247166
ecoli-0-1-4-7_vs_5-6	SMOTE-SVM	1	0.888888889	0.888888889	1	0.888888889	0.933333333	0.002962963
ecoli-0-2-6-7_vs_3-5	SVM	0.888888889	0.75	1	0.666666667	1	0.861111111	0.017901235
ecoli-0-1_vs_2-3-5	SMOTE-SVM	0.75	0.888888889	1	0.8	1	0.887777778	0.010375309
ecoli-0-3-4-6_vs_5	SVM	1	0.857142857	1	0.666666667	0.857142857	0.876190476	0.015056689
ecoli-0-1_vs_5	SMOTE-SVM	1	1	1	1	1	1	0
ecoli-0-3-4-7_vs_5-6	SVM	0.888888889	0.909090909	0.888888889	1	0.909090909	0.919191919	0.001714111
ecoli-0-2-3-4_vs_5	SMOTE-SVM	1	0.857142857	1	0.857142857	1	0.942857143	0.004897959
ecoli-0-3-4_vs_5	SVM	1	0.857142857	1	0.666666667	0.857142857	0.876190476	0.015056689
ecoli-0-2-6-7_vs_3-5	SMOTE-SVM	0.888888889	1	1	0.857142857	0.8	0.909206349	0.006307281
ecoli-0-4-6_vs_5	SVM	1	0.857142857	1	0.666666667	0.857142857	0.876190476	0.015056689
ecoli-0-6-7_vs_3-5	SVM	0.888888889	0.75	1	0.666666667	1	0.861111111	0.017901235
ecoli-0-3-4-6_vs_5	SMOTE-SVM	1	1	1	1	1	1	0
ecoli-0-6-7_vs_5	SVM	0.857142857	0.857142857	1	0.666666667	1	0.876190476	0.015056689
ecoli-0-3-4-7_vs_5-6	SMOTE-SVM	0.888888889	0.909090909	1	1	0.714285714	0.902453102	0.010933162
ecoli-0_vs_1	SVM	0.967741935	1	0.965517241	1	1	0.986651835	0.000267755
ecoli-0-3-4_vs_5	SMOTE-SVM	1	1	1	1	0.857142857	0.971428571	0.003265306
ecoli-0-4-6_vs_5	SMOTE-SVM	1	0.857142857	1	0.857142857	0.857142857	0.914285714	0.004897959
ecoli1	SVM	0.933333333	0.903225806	0.785714286	0.666666667	0.965517241	0.850891467	0.012172291
ecoli-0-6-7_vs_3-5	SMOTE-SVM	1	1	1	1	0.8	0.96	0.0064
ecoli-0-6-7_vs_5	SMOTE-SVM	1	0.857142857	1	0.857142857	0.8	0.902857143	0.006726531
ecoli2	SVM	1	0.869565217	0.947368421	0.9	0.695652174	0.882517162	0.010679966
ecoli-0_vs_1	SMOTE-SVM	0.967741935	1	0.965517241	1	1	0.986651835	0.000267755
ecoli3	SVM	0.833333333	0.533333333	0.833333333	0.5	0.933333333	0.726666667	0.030844444
ecoli4	SVM	0.857142857	0.857142857	1	0.857142857	0.666666667	0.847619048	0.011247166
glass-0-1-2-3_vs_4-5-6	SVM	0.857142857	0.571428571	0.818181818	0.952380952	1	0.83982684	0.02222597
ecoli1	SMOTE-SVM	0.933333333	0.967741935	0.727272727	0.666666667	0.965517241	0.852106381	0.01656055
glass-0-1-4-6_vs_2	SVM	0.75	0.8	0.571428571	0.363636364	0.8	0.657012987	0.028586338
ecoli2	SMOTE-SVM	1	0.869565217	0.947368421	0.9	0.75	0.893386728	0.007090273
glass-0-1-5_vs_2	SVM	0.6	0.857142857	0.5	0.666666667	0.8	0.684761905	0.016928798
glass-0-1-6_vs_2	SVM	0.6	0.727272727	0.666666667	0.444444444	0.8	0.647676768	0.01469499
ecoli3	SMOTE-SVM	0.933333333	0.625	0.933333333	0.705882353	0.933333333	0.826176471	0.017878085
glass-0-1-6_vs_5	SVM	0	1	1	0.8	0.111111111	0.582222222	0.19148642
glass-0-4_vs_5	SVM	1	1	1	1	1	1	0
ecoli4	SMOTE-SVM	0.857142857	1	1	1	0.666666667	0.904761905	0.01723356
glass-0-6_vs_5	SVM	1	1	1	1	1	1	0
glass-0-1-2-3_vs_4-5-6	SMOTE-SVM	1	0.947368421	0.8	0.952380952	0.952380952	0.930426065	0.004620514
glass0	SVM	0.714285714	0.742857143	0.848484848	0.827586207	0.75	0.776642783	0.002699245
glass-0-1-4-6_vs_2	SMOTE-SVM	0.888888889	0.8	0.857142857	0.857142857	1	0.880634921	0.004384379
glass-0-1-5_vs_2	SMOTE-SVM	1	1	0.5	0.75	0.8	0.81	0.0344
glass1	SVM	0.75862069	0.785714286	0.628571429	0.536585366	0.785714286	0.699041211	0.00998641
glass-0-1-6_vs_2	SMOTE-SVM	0.75	0.8	1	0.666666667	1	0.843333333	0.018177778
glass2	SVM	0.5	0.6	0.666666667	0.4	0	0.433333333	0.055111111
glass-0-1-6_vs_5	SMOTE-SVM	1	1	1	1	0.666666667	0.933333333	0.017777778
glass4	SVM	0.8	1	0.857142857	1	0.5	0.831428571	0.033665306
glass-0-4_vs_5	SMOTE-SVM	1	1	1	1	1	1	0
glass5	SVM	0.666666667	0.8	1	1	0.133333333	0.72	0.102044444
glass-0-6_vs_5	SMOTE-SVM	1	1	1	1	1	1	0
glass6	SVM	0.8	0.909090909	1	0.923076923	0.888888889	0.904211344	0.004129994
glass0	SMOTE-SVM	0.727272727	0.742857143	0.848484848	0.857142857	0.846153846	0.804382284	0.003240961
glass1	SMOTE-SVM	0.733333333	0.838709677	0.666666667	0.564102564	0.8	0.720562448	0.009563328
glass2	SMOTE-SVM	0.727272727	0.75	0.857142857	0.666666667	0.857142857	0.771645022	0.005615524
glass4	SMOTE-SVM	1	1	0.857142857	1	0.5	0.871428571	0.03755102
glass5	SMOTE-SVM	1	1	0.8	1	0.5	0.86	0.0384
glass6	SMOTE-SVM	0.909090909	1	1	1	0.888888889	0.95959596	0.002489542
haberman	SVM	0.24	0.5	0.461538462	0.428571429	0.52173913	0.430369804	0.01008242
iris0	SVM	1	1	1	1	1	1	0
